kingovhartz: DAnG
mexicannarut0: @tsm_zexrow stop dissgodMonkaS
klownzzi: LUL
xenarek: LUL
nightbot: ACTION Myth's Twitter - http
idiotcamden: OH
ac3kill762: LMAO
xenarek: LOL
judgehawkins: Lmao
kushylife: LOOOOOOOL
queen_sam98: so much for strategy
juniahmafia: daeHA daeYikes
idiotcamden: LMAOo
yalongmamba: LUL LUL LUL LUL LUL LUL
viispec: LUL HAHA
iyerfire: LOL
klownzzi: LOOOL
space_ryan: LUL
iwillbeatyouingta5: LUL
dom1nick11: F
currtay: lmaoooo
katymcmaster1122: DANGGGGG]
finnstar: F
shadow_seeker15: mthR mthR mthR mthR
fartyblossom: Myth is so toxic now
turbo_btw: ooooof
d1_bound: lol
kalebmeier: Rip
surgicalbrainiac: LUL LUL
a3naq: Shiet
rollin77: OMEGALUL
harrisonzone_yt: gg
katymcmaster1122: LMFAOOO
dankes: get fucked
bluedragons331: LUL LUL LUL LUL LUL LUL LUL LUL
iyerfire: BACK TO SQUARE 1
rilloxmoe: yoink
katymcmaster1122: OOFFF
king_leo1703: NotLikeThis NotLikeThis NotLikeThis NotLikeThis
lil_llama90: Poor Vinny
lena165: LUL LUL
metronade: legit MESSEE IT UP AHHHH
bridgezzzz: get wrecked vinny
streamernot123: LUL LUL LUL LUL LUL
cakekiller12: LOLOL
metronade: mthRee mthRee mthRee mthRee mthRee
xsilvuh: THE CONTENT
paulschroeder1: opinion on dubs fn situation @tsm_myth
fishiestguy: Jesus
bluedragons331: mytR
creepypasta314: it there a bet on this game???
dom1nick11: Rekt
smiley_defaulty: Lol
gurufn: @Fartyblossom the are kidding around stop being soft
niklpolka: @TSM_Myth Explain to me why zex and vinny are watching ur stream...
rilloxmoe: legit clapped bro
streamernot123: AngryJack
shadow_seeker15: mthMeh mthMeh mthMeh mthMeh mthCu mthCu mthR mthR mthOMEGA mthOMEGA mthO mthO
xraptorz_venom: mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA
kingovhartz: THE Play of the DAY
metronade: mthRee mthRee WE WERE SOOO CLOSEE
surgicalbrainiac: The game that never ended...
billytheturt: NO U
watchingman6969: Hi @niklpolka nikl nikl polka
dannythedjboy: why are you playing this?
drewcyfruit01: So stupid it was blue so you change it to blue. Idiot and you call them trash for reverses lmao 2iq plays
e_kid1313: Uno gods
ghost94x: This kid legit had the best hand in the fcking game.
ceza_seandon: Hello Myth
sprintshift: so close dude wtf
seapandas21: Why am I watching uno and enjoying it.......
carroty: Move face cam down a bit
sugarjuls: is this the same game from 30 mins ago...
niklpolka: @TSM_Myth Explain to me why zex and vinny are watching ur stream. @TSM_Myth
viispec: for ever indeed
seun__: Myth is such a clown LMAOOO
tanque0020: hi
smokedios: same
shadow_seeker15: mthSus mthSus mthSus mthSus
kingovhartz: UNO is LIFE
n4tesw0rld: it's only going on forever because you're leaking each others cards
niklpolka: @TSM_Myth Explain to me why zex and vinny are watching ur stream...
billytheturt: pepeJAM
liversarah: UNNNOOOOOOOOOOOOOOOOOOOOOOO rakSL
mrbqse: STREAM SNIPE@@@@
protagonist_: zex stream sniping
streamernot123: 
wholesaleranch: you guys hear about dubs
tigersgd: !subcount
frankie_lives: how does the other guy know which cards myth doesnt have
shadow_seeker15: some of myths plays get me frustrated mthRee mthRee mthRee mthRee
tmi.twitch.tv
: 
niklpolka: @TSM_Myth @TSM_Myth Explain to me why zex and vinny are watching ur stream...
space_ryan: hes watching stream
metronade: @liversarah KonCha
kushylife: he's watching.
bluedragons331: HES CHEATING
klownzzi: Cheating FeelsOkayMan
fury_phoenix_: Stream sniper
tezsifn: CHEATING
cascadeflow: Ayyeeee
currtay: STREAM SNIPING
sleven77sleven: you had to draw on yellow
katymcmaster1122: CHEATINGGGG
darkprincess04: MTYH BLOCK YOUR SCREEN
michael20981: THEYRE IN YOUR STREAM
crispyyfn: @zexrow
emanuelayala22: stream snipe
bluedragons331: FUCK HIS ASS NOW
calebinho10: He’s stream sniping
mathiusf20: zex stream snipe
michael20981: STREAM SNIPER
fishiestguy: STREAM SNIPING
tigersgd: he is stream sniping
idiotcamden: this dude logged out to watch his stream
mexicannarut0: @tsm_zexrow
cizzorzistheegoat: you havent had yellows for a while
space_ryan: LUL
viispec: @zexrow
fury_phoenix_: Cheating
calebinho10: STREAM SNIPERRRRR
doggyrichwood: He’s stream snipping
fishiestguy: STREAM SNIPER
xaimberrush: Zex anyway braindead
kushylife: I CAN SEE VINNY AND ZEX IN THE VIP - ONLINE
idiotcamden: so he wouldnt know
liversarah: Hahahahhaha stream snipe
wyattina: nah you had to draw on yellow earlier
niklpolka: MYTH HES WATCHING LOOK AT MY CHATS^^ HES ON UR VIEWER LIST. SO IS VINNY @TSM_Myth
jalen1020: Stream sniping
adithya: lmfao vinny and zex are on
kushylife: he's i here
jorde_503_: You drew when there was yellow down
xenarek: ZEXXXXXXXXXXXXXXXXX
katymcmaster1122: STREAMSNIPERSSSS
michael20981: him and vinny are both in viewer list
desputed: STREAM SNIPING
angelgarcia3d: hoursW hoursW hoursW
xenarek: WTF
cascadeflow: Wassup
lena165: LUL LUL
klownzzi: LUL
monstoriusfox: Cheat
birdunla: lol you dumbass, you played a blue 7 when it was YELLOW
currtay: WHAT A FAGGGGGGG
superduperuberyeah: @zex_row
kingovhartz: STREAM SNIPING
viispec: SS btw!!!
darkprincess04: BLOCK YOUR CARDS
trxjanrl: IF YOU LEAVE THIS GAME
rizzle3223: You kept drawing when you had no yellows
yeetdaddy68: YOU BETTER FUCKING WIN MYTH OR ELSE IMMA SHOVE MY BIG PENIS UP YOUR ASS AND YOUR GONNA GET SO MUCH GOOD HEAD FROM M
kushylife: He's legit online in the VIP list
space_ryan: LMAO
drewcyfruit01: Ummm your streaming bud lmao
mynameizjazzie: cmonBruh
nachog27: @Sexrow
liversarah: rakSL
youngsimba8: You pulled about 8 cards cause you didn’t have yellows
jorde_503_: Yes he did
monstoriusfox: CHEAT
rohan983: fuck you and goodbye
pilijara: His watching
doggyrichwood: Stream sniper
solidomaxino: @zexrow cmonBruh
killxmonger: You had to draw a lot because the middle was yellow
yeetdaddy68: hello
nightbot: Use code Myth during the Support A Creator event! More information > http
succr_: smacePaint smaceGF amiloSmile
warrenjeanty: LMAOOOOOOOOO
mexicannarut0: @tsm_zexrow hi @tsm_zexrow hi dissgodMonkaS
niklpolka: MYTH HES WATCHING LOOK AT MY CHATS^^ HES ON UR VIEWER LIST. SO IS VINNY @TSM_Myth @TSM_Myth
thekiller_tv: fuck off zex
metronade: notlikethis5
holyshtitsazombie: delay
zzjdf: are those blue light blockers myth?
yeetdaddy68: rgegeg
sullyonline101: @zexrow
xenarek: Omfg Zex
ministartor: Hi zexrow
adithya: we see you zex LUL\
sstarfishh: @zexrow
katymcmaster1122: CHETERZZ
gurufn: @tsm _zexrow
kohlross: toxic
mathiusf20: stream sniping
gnfluffy: Hey zex
jalen1020: Cheater
batspy7: He aint in chat
sdizzyd: Stream sniping uno 😂😂😂
yeetdaddy68: eMYTHH
lucarious123: bro you drew when it was yellow
classyys: you're gay
eking1234567: He watches your stream
trxjanrl: If you LEAVE this game, I won't report you Kapp
fishiestguy: That’s why he’s muted
kingovhartz: LUL
33cneff: You drew on yellow awhile back
rizzle3223: YOU KEPT DRAWING WHEN YOU HAD. O YELLOWS DAWG
idiotcamden: ZEX DOES THIS IN EVERYGAME LMAOOO
niklpolka: @TSM_Myth MYTH HES WATCHING LOOK AT MY CHATS^^ HES ON UR VIEWER LIST. SO IS VINNY @TSM_Myth @TSM_Myth
call_of_nobby: @TSM_Zexro
shadow_seeker15: bottttttt mthRee mthRee mthRee mthRee mthRee
dslice15: mthDrink
kushylife: He's legit online in the VIP list
yeetdaddy68: MYTH IMMA SHOVE MY DICK UP YOU
metronade: STREAMSNIPING LUL
viispec: LMFAO
obliviously_obese: @ze
sstarfishh: @TSM_Zexrow
selverian11: trigged
ksphynx: he’s under the viewer list
silvershadow117: LUL LUL LUL
asphers: @TSM_Zexrow
sstarfishh: @dd
idiotcamden: always cheatss
sprintshift: @TSM_ZexRow
qtoxlion: hahha
naluboy: Mod stream snips!!!
idiotcamden: lmsooo
yeetdaddy68: MYTH IMMA SHOVE MY PENIS UP YOU
tezsifn: @TSM_Zexrow
qwertyisco_: @TSM_Zexrow
mathiusf20: NotLikeThis ResidentSleeper
bluedragons331: FUCK HIM UP THE ASS
kushylife: Zex cheating ResidentSleeper
solidomaxino: mad over uno WeirdChamp
rizzle3223: YOU KEPT DRAWING WHEN YOU HAD NO YELLOWS
shadow_seeker15: mthFall mthFall mthFall
yeetdaddy68: SUCK MY DICK MYTH
space_ryan: LUL
niklpolka: MYTH HES ON UR VIEWER LIST, SO IS VINNY @TSM_Myth
mexicannarut0: @tsm_zexrow hi @tsm_zexrow hi hi dissgodMonkaS dissgodMonkaS dissgodMonkaS dissgodMonkaS dissgodMonkaS pls stop
jazmyne_saiomi07: Stop crying myth lol
katymcmaster1122: @TSM_Zexrow
yeetdaddy68: BANNNNNNN MR PLRSE
cascadeflow: mthR mthR mthR mthR
doggyrichwood: Cheater
adithya: not the first time hes cheated LUL
belu995: Lmaooo he is
jerbearish: You had to draw on yellows and haven’t drawn since myth
yeetdaddy68: BANN ME PLEASE
bluedragons331: EVERYONE BE TOXIC
gurufn: ZEX BANNED FROM WORLD CUP
shadow_seeker15: PJSalt PJSalt PJSalt
holyshtitsazombie: monkaS
nadaniel1: @tsm
acepyx: Stream sniped on uno
cakekiller12: LUL
finnstar: BAN ZEX 2019
angelgarcia3d: block your cards cmonBruh
kushylife: LUL
yeetdaddy68: MYTH YOU FUCKING SUCK My COCK
katymcmaster1122: @TSM_Zexrow cheaterzzzz boiiii
shiven1x_: @TSM_Myth ask vinny if he likes chicken
birdunla: YOU PUT A FUCKING BLUE 7 WHEN IT WAS A YELLOW 7
ronkj: use facecam to hide cards
niklpolka: @TSM_Myth MYTH HES ON UR VIEWER LIST, SO IS VINNY
briiia: I don't believe him. LUL
finnstar: Kick him from TSM
sleven77sleven: myth braindead fr
adithya: vinny's here too LULW
aresbliffy: @
viispec: LUL
tygastripe: Why are you guys talkin' about doin' this man in the cheeks.
turbo_btw: GRIEF HIM
kushylife: loool
monstoriusfox: CHEATER CHEATER TAKE THE PEEN
yeetdaddy68: MYTH SUCK MY FUCKING COCK
idiotcamden: lmaooo
nightbot: ACTION Quick Reminde
klownzzi: LUL
kushylife: LUL
mynameizjazzie: 
space_ryan: LUL
supahhottfire: Lmao vinny
dankes: when you he played the yellow and you had to draw you pulled cards till you top decked thats how he knew
shiven1x_: !mod
streamernot123: HSWP HSWP HSWP
shadow_seeker15: mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA mthOMEGA
katymcmaster1122: @TSM_Zexrow CHEATERZ BOII
kushylife: once a cheater always a cheater mthR
silvershadow117: I’d be mad too LUL
cakekiller12: LUL
angels2752: LUL
supahhottfire: Keeeeep it yellow boys
itsstuns: lmao
mathiusf20: block the cards
acepyx: Myth you played a blue seven when it was a yellow seven
lena165: LUL LUL
judgehawkins: CHEATER mthO
lokoj2: Can’t you put like a black bar over your cards??
sprintshift: The R is capital on his stream its funny hpw some people are saying TSM_Zexrow
surgicalbrainiac: Damnnnnn
doodlespt: U r noob when you stream snipe in Uno... god
seun__: LUL LUL LUL LUL LUL
zzjdf: chat is myth wearing blue light blockers
angelgarcia3d: hoursSpit hoursSpit hoursSpit
carlnietsk: DansGame
shadow_seeker15: mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR mthR
mexicannarut0: We gotem boys TriHard
idiotcamden: "i swear im not cheaing NOW" LMAO
streamernot123: cheat
fishiestguy: Sad they need to stream snipe in Uno
finnstar: I knew it LUL LUL
smugggss: how many people can play at once
ksphynx: HIM ANF VINNY ARE ON THE LIST @tsm_myth
briiia: "now"
katymcmaster1122: We gottem he thoughtttt
henneky: Who's today's worst cheater, Dubs or Zexrow? LUL
metronade: LOL
2eezzz: EXPOSED zexrowSPIT
qtoxlion: hahah
fishiestguy: I’m not cheating “now”
metronade: LMAOO
cascadeflow: ad
lokoj2: Myth can’t you put a black bar over your cards in OBS????
nightbot: ACTION MYTH IS REQUIRED TO RUN ADS. THANK YOU VERY MUCH FOR WATCHING THEM AND UNDERSTANDING
shadow_seeker15: mthV
niklpolka: VINNY IS CHEATING AS WELL @TSM_Myth
briiia: SMH
metronade: I love this
finnstar: @henneky Omegalul LUL LUL
ejectzzyt: ad
xaviertcx: he's 0 iqed
viispec: ladies n gentlemen with got em
kushylife: looool
billyjr_: yooo
sprayindayin: ad
tygastripe: Stream sniped on Uno LUL
katymcmaster1122: OMEGALUL
angelgarcia3d: @henneky hoursOK hoursOK both
space_ryan: LMAO
buiindora: 
seun__: As
shadow_seeker15: mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus mthSus
dom1nick11: Ad
calebinho10: VINNY IS IN HERE AS WELL
katymcmaster1122: LMAOOOO
crispycrustt: lmao
niklpolka: @TSM_Myth VINNY IS ON THE LIST AS WELLLLLLLL
judgehawkins: This mf cheating nickmercsANGRY
calebz03: Ban him from stream
d1_bound: ohhhhhhh
mathiusf20: ad
space_ryan: HES CUT
nightbot: ACTION MYTH IS REQUIRED TO RUN ADS. THANK YOU VERY MUCH FOR WATCHING THEM AND UNDERSTANDING
xenarek: Zex is a scam and a cheat LOL
ksphynx: Ad
cakekiller12: Get banned in uno
cyberowlgames: what camera do u use?
mrbqse: you gotta remember that he's hosting man
ksphynx: !specs
nightbot: ACTION If you or anyone you know are struggling, depressed, feel like giving up or anything else, contact suicide prevention, people are here for you, and here to help. The link to Twitch Suicide Prevention is here --> http
gaaga: @vinny1x @TSM_Zexrow
mathiusf20: !ad
nightbot: ACTION MYTH IS REQUIRED TO RUN ADS. THANK YOU VERY MUCH FOR WATCHING THEM AND UNDERSTANDING 😃
shadow_seeker15: mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin mthGrin
mrbqse: he's hosting your stream
billyjr_: and I thought ninja was toxic LUL LUL LUL
niklpolka: VINNY IS ON THE LIST TO @TSM_Myth
qrkyy: i love zex
katymcmaster1122: Stream sniperzzzzz
trashpandazzz: Toxic
calebinho10: he’s hosting you
mrbqse: bro he's hosting your stream lmao
gq58hfnfaelh: Stop being a little bitch
calebinho10: He’s hosting you ahahah
angelgarcia3d: ad hoursSpit
nightbot: ACTION MYTH IS REQUIRED TO RUN ADS. THANK YOU VERY MUCH FOR WATCHING THEM AND UNDERSTANDING
ulti_darksoul: @gq58hfnfaelh who
cascadeflow: I just got Twitch Prime and subbed to you bro
billyjr_: @gq58hfnfaelh You should see ninjas stream LUL LUL LUL
tactical_pedropsn: I'm a God at uno
finnstar: You know what’s funny is zexrow is in that video of dubs cheating lol
nachog27: @vinni1x
lokoj2: Just put a black bar on your cards on OBS
luxkfn: Tell me why he’s hosting u right now
iyerfire: LOL FORTNITE GUY VID IN 5 MIN
finnstar: And now he stream sniping in uno
666demonlord777: I can see his name under the viewers list
wirwin: u need real skill for this
viispec: zexrow is hosting u @TSM_Myth
shadow_seeker15: mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthR mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad mthSad
nightbot: ACTION Join Myth's Discord server! http
calebinho10: He is hosting you hahahahahahaha troll
mrbqse: PogChamp
lokoj2: HIDE YOUR CARDS BRO
boss27330: you should've challenged so you would know what he had
kushylife: he has reds now prolly LUL
niklpolka: Fortnite guy about to say Zex is cheating LUL @TSM_Myth
mrbqse: hide your cards man
judgehawkins: He’s 100% still cheating
sprintshift: what does Zex hosting him have to do with anything? LUL
kvngjay2019: Hi vinny
ronisaiah0205: MYTH IS BBBY
tmi.twitch.tv
: 
mrbqse: hide your cards, he's literally hosting u LMAO
mathiusf20: WutFace Kreygasm Kappa
luxkfn: YOU ARE BEING HOSTED BY ZEXROW RIGHT NOW @tsm_myth
metronade: LUL they all teaming up now
seun__: PogChamp PogChamp PogChamp
jazz240: imagine being such a pleb you have to cheat on uno LUL
monteirofn: hello what are your opinions on dubs hes nuts
niklpolka: I think wen ur hosting it counts as a viewer
kushylife: challengee
shadow_seeker15: Hide your Cardsssss mthWows mthWows mthWows mthWows
kushylife: LUL
lilswampnuggets: MYTH PLAY THIS ON STRETCH! ITs key!!
qtoxlion: hahaha
desputed: Im dming the fortnite guy right now about zex
nightbot: ACTION Join Myth's Discord server! http
streamernot123: oof
mrbqse: myth doesnt read chat
omera57: hi
lilswampnuggets: rip well he should play on stretch ahahh
finnstar: New Fortnite guy video “MYTH EXPOSES ZEXROW FOR STREAM SNIPING”
shadow_seeker15: hide your cards @TSM_Myth mthSus mthSus mthSus
metronade: WOWW
ronisaiah0205: @mrbqse facts
kushylife: LUL
inspectherfirst5: lol
crispycrustt: lol
gxvinv2: @tsm_zexrow
inspectherfirst5: myth
briiia: Woooowww
coldjovian4048: hi myth
eldocesc: is cool fortnite players in UNO FutureMan
trashpandazzz: So toxxiccccc
swerrveyy: y'all capping if you think myth doesn't have the best facecam on all of twitch
nightbot: ACTION Myth's Instagram - http
cakekiller12: LUL LUL
cascadeflow: TIKESSS
monstoriusfox: CHEATERS LIKE SUCKING PEEN
katymcmaster1122: @TSM_Zexrow is in stream boizzzz
dom1nick11: +2 his ass
calebinho10: Triggered
kushylife: LUL
lokoj2: !wecam
niklpolka: HI @TSM_zexrow
trashpandazzz: Sus
bubblinjonny: Hey Myth what would you recommend for a new gaming streaming PC?
klownzzi: LUL
zjsleiman: cheer1000
coldjovian4048: CHEATER EAT PEEN
adithya: hamzFake
lokoj2: !webcam
space_ryan: hi zex
jokernights: Hello @TSM_Myth glad i can finally say hi.. watch you all the time.. one day when i can i will sub
king_leo1703: LUL
angelgarcia3d: hoursW hoursW hoursW
nastysandwich: uno ruins friendships LUL
adithya: hey zex KonCha
shadow_seeker15: hide your cardsssssssssss
ducks_02: Aipha is joining tsm confirmed ? He played UNO with 3 tsm pros ? Keepo
