Streamer,Hours_Streamed,Average_Viewers,Peek_Vierwers,Days_Active,Total_Games_Streamed,Daily_Broadcast_Time,Hours_Watched_Daily,Follower_Gained/stream,Views/stream,Followers_Gained/Hour,Followers_to_Date,Total_Views,Active_Days_per_Week,Average_Games/stream,Views/hour
asmongold,3474,10176,88831,632,14,6,55941,1030,68731,178.8,727190,45184241,5.1,1.1,178.8
pink_sparkles,2461,1226,12149,461,15,5,6545,1364,43312,220.7,730575,21008171,3.7,1.8,220.7
solaryfortnite,7169,4058,45482,395,40,18,73654,1840,100100,101.9,732488,39742406,6.9,1.4,101.9
forsen,4694,10272,80860,720,430,7,66964,733,77379,117.4,1097837,105499087,5.8,2.5,117.4
kaypealol,2333,892,17000,575,12,4,3620,215,11576,52.5,726970,21867161,4.7,1.2,52.5
gafallen,416,8348,30273,133,6,3,26140,3154,63270,1090.6,725609,19174875,1.1,1,1090.6
kendinemuzisyen,1989,5133,18690,448,128,4,22792,1924,55349,355,707368,20317577,4.7,2.6,355
playhearthstone,2588,14669,168532,346,1,7,109719,925,198977,130.4,706377,119004595,2.8,1,130.4
scream,321,4884,23991,87,10,4,18035,3380,78461,873.3,700557,15115980,0.8,1.3,873.3
originpc,259,247,2702,121,32,2,530,5128,2077,2372.3,694610,513145,1,1.1,2372.3
valkyrae,2935,1399,19576,635,55,5,6465,988,12367,216.6,691718,8752303,5.1,1.4,216.6
professorbroman,5403,1395,19566,776,102,7,9713,148,11523,23.2,690003,21265187,6.3,1.5,23.2
chap,2773,3178,30510,291,24,10,30283,2223,45748,249.3,691392,14227817,5,1.3,249.3
chocotaco,4606,3550,27095,601,95,8,27206,812,27238,149.3,687640,23073067,6.8,1.4,149.3
loeya,4663,1607,19662,543,36,9,13800,918,24072,147.3,686741,18005691,6.2,1.3,147.3
jovirone,4260,5382,35538,653,14,7,35112,914,62892,143.8,681338,44601053,5.3,1.1,143.8
aimbotcalvin,5280,5254,52206,637,54,8,43547,1074,45682,127.2,671675,28553952,5.3,1.5,127.2
hastad,3427,3312,21904,453,54,8,25053,904,47184,121.8,670961,40611464,3.7,1.8,121.8
lestream,9285,2504,145205,754,534,12,30835,728,64334,62.4,667411,52103185,7,5.5,62.4
towelliee,7848,2856,18909,784,52,10,28590,137,31540,17.8,663439,126721382,6.3,1.2,17.8
easportsfifa,466,25954,123468,56,5,8,215951,9860,469783,1354.3,661481,31121608,0.5,1,1354.3
admiralbahroo,6680,5841,38374,814,166,8,47937,448,39087,51.4,661143,43019514,6.6,1.5,51.4
wildcat,285,2107,31024,93,14,3,6468,2234,11871,680.9,644469,2832072,0.8,1.3,680.9
aiekillu,1617,3918,56190,379,155,4,16720,813,30432,169.9,658475,23498795,3.1,1.9,169.9
legendarylea,1894,754,6293,433,54,4,3299,120,19779,23.7,648136,41318030,3.5,2,23.7
pintipanda,2385,2403,13674,524,160,5,10935,1005,34198,198.9,644296,20896641,4.3,1.8,198.9
lilypichu,1763,3579,24149,444,81,4,14208,1086,31413,255.2,643635,17890783,3.6,1.9,255.2
cowsep,5541,1080,12069,781,11,7,7662,210,12641,29.3,642407,31564010,6.3,1.1,29.3
lcs,664,63995,400429,144,1,5,294955,2915,383492,496.2,637012,72140908,1.3,1,496.2
iwilldominate,5928,5178,24334,807,39,7,38033,489,43151,67.7,636559,46863047,6.5,1.2,67.7
lcs,664,63995,400429,144,1,5,294955,2915,383492,496.2,637012,72140908,1.3,1,496.2
playbattlegrounds,452,15125,184404,95,1,5,71892,6352,263338,1406.7,636642,26341047,0.8,1,1406.7
dendi,468,9705,30188,100,6,5,45413,1722,85040,342.2,634423,53768919,0.8,1.1,342.2
lcs,664,63995,400429,144,1,5,294955,2915,383492,496.2,637012,72140908,1.3,1,496.2
maximilian_dood,4233,7418,30260,633,566,7,49607,467,39032,71.9,626536,39127223,5.1,2.1,71.9
riotgamesbrazil,1876,15025,131655,393,1,5,71704,827,133386,179.4,624924,124729885,3.2,1,179.4
miniladdd,249,3098,18076,81,40,3,9518,2761,22522,821.1,603378,3350728,0.7,1.5,821.1
rakin,2911,4486,19513,526,55,6,24829,972,47657,185.9,624663,29450451,4.2,1.2,185.9
realkraftyy,7152,1955,29474,815,46,9,17155,516,18030,58.5,623171,17005226,6.6,1.4,58.5
opsct,2053,2058,35882,256,18,8,16508,2071,29299,215.8,622803,10621532,2.1,1.2,215.8
thijs,4588,10940,44931,682,12,7,73601,605,75778,90.5,621336,63492363,5.5,1.1,90.5
tobiasfate,4419,3523,24095,670,51,7,23236,604,31167,121.6,620864,30150785,5.4,1.2,121.6
cheatbanned,2100,2122,8023,499,24,4,8931,211,33127,50.6,620906,42369761,4,1.3,50.6
mrsavage,1062,3011,35940,211,11,5,15150,2277,28385,583.4,619332,7720796,4.5,1.1,583.4
cellbit,1323,4462,18917,270,189,5,21870,2419,60360,442.3,614034,14911143,2.2,2.5,442.3
rakanoolive,3658,2216,22954,537,18,7,15094,1183,11436,164.6,614348,5937418,4.3,1.1,164.6
scump,902,10678,101779,155,11,6,62107,2840,55812,431.5,611107,18639037,1.4,1.2,431.5
exxzzy,18,20,109,9,2,2,39,9185,461,6797.1,124523,6080,0.2,1,6797.1
shiphtur,6387,4085,23939,810,15,8,32213,633,42769,82.9,611263,39169278,6.5,1.1,82.9
hrkchannel,494,6159,17766,134,39,4,22716,3510,87805,1043.9,581848,14421090,1.1,1.1,1043.9
nickbunyun,2184,270,3116,606,20,4,973,50,3331,12.5,609052,7126355,4.9,1.6,12.5
lachlan,43,3906,9374,15,3,3,11097,33925,29117,10348.6,598948,912541,0.3,1,10348.6
tarik,1383,3315,17870,235,15,6,19504,1133,36071,191,608758,18765807,2,1.2,191
sharishaxd,445,2484,9640,139,51,3,7953,972,102583,299.3,607076,24913903,1.1,1.7,299.3
streamerhouse,20849,492,8584,869,134,24,11804,281,22505,5.2,607410,54148003,7,2.3,5.2
cashnastygaming,613,4452,13123,158,16,4,17263,950,10751,252.6,606532,6086828,1.3,1.3,252.6
playbattlegrounds,452,15125,184404,95,1,5,71892,6352,263338,1406.7,636642,26341047,0.8,1,1406.7
admiralbahroo,6680,5841,38374,814,166,8,47937,448,39087,51.4,661143,43019514,6.6,1.5,51.4
itshafu,4383,3362,16377,623,61,7,23654,288,32390,39.4,601834,67900871,5.1,1.4,39.4
dizzy,1909,3459,41938,292,40,7,22619,2213,29815,303.7,588832,7914226,2.4,1.3,303.7
gaules,8194,3446,143489,446,17,18,63308,1633,111950,72,589777,40414090,6.9,1.2,72
mym_alkapone,3420,5645,39163,582,213,6,33168,465,25469,84.5,589209,33641177,4.7,2.3,84.5
bratishkinoff,3631,4606,32083,623,157,6,26848,820,44076,141.9,588475,30071486,5,1.8,141.9
dreadztv,2414,12438,51454,334,98,7,89897,646,207877,83.5,587246,129880157,2.7,2.2,83.5
tecnosh,2306,3323,40703,381,10,6,20109,1285,40652,206.8,555704,18357885,3.1,1.4,206.8
zerator,2685,7837,175290,579,115,5,36337,545,60085,123.3,583662,53304402,4.7,1.6,123.3
jasonr,7273,1802,17169,830,40,9,15791,505,25408,72.4,582021,27385300,6.7,1.8,72.4
jovirone,4260,5382,35538,653,14,7,35112,914,62892,143.8,681338,44601053,5.3,1.1,143.8
riotgamesturkish,1694,8027,63733,304,1,6,44742,640,124898,124.7,581401,129279662,2.5,1,124.7
mrfreshasian,1145,2212,13072,170,8,7,14905,3160,23002,507.5,583922,4235864,3.9,1.1,507.5
brtt,412,9846,35436,136,8,3,29825,2537,79719,622.1,565500,33958150,1.1,1.3,622.1
tsm_viss,7023,2589,19181,836,48,8,21751,642,30569,80.2,574883,27114181,6.7,1.3,80.2
maciejay,3153,2730,36143,670,12,5,12849,787,14198,168.5,574542,9960128,5.4,1.1,168.5
elotrix,430,3148,30826,100,13,4,13542,1672,20038,303.2,573779,13687518,0.8,1.3,303.2
olofmeister,78,7276,15311,25,3,3,22837,1972,68978,527.7,578253,9700206,0.2,1.2,527.7
geekandsundry,15837,1470,95403,830,201,19,28049,187,22042,21.1,571932,52578391,6.7,2.3,21.1
admiralbulldog,4629,8324,56253,643,152,7,59922,329,56673,56.6,569384,75576823,5.2,2.4,56.6
levo,3894,2531,18027,702,59,6,14038,536,32507,96.5,568571,34108958,5.7,1.7,96.5
valkyrae,2935,1399,19576,635,55,5,6465,988,12367,216.6,691718,8752303,5.1,1.4,216.6
wildturtle,146,1995,7518,39,1,4,7486,-1129,19053,-208.2,546196,43759086,0.3,1,-208.2
luzu,1076,989,18078,286,48,4,3722,984,9509,349.3,558670,4143359,4.1,1.2,349.3
bungie,35,41523,432504,24,2,1,60468,6894,212123,4734.3,558709,9870682,0.2,1,4734.3
lck,1588,21768,172716,262,1,6,131955,1728,180478,284,555941,54041910,2.3,1,284
lck,1588,21768,172716,262,1,6,131955,1728,180478,284,555941,54041910,2.3,1,284
realkraftyy,7152,1955,29474,815,46,9,17155,516,18030,58.5,623171,17005226,6.6,1.4,58.5
bunnyfufuu,3247,925,13741,569,11,6,5279,650,8941,112.5,555437,8919653,4.6,1.1,112.5
originpcceo,10,90,352,4,3,2,223,73024,1354,36880.6,439088,12770,0,1,36880.6
elotrix,430,3148,30826,100,13,4,13542,1672,20038,303.2,573779,13687518,0.8,1.3,303.2
prettyboyfredo,260,6529,33032,68,11,4,24916,987,36253,213,413396,3834384,0.5,1.8,213
wtcn,3705,4469,72481,719,132,5,23029,1418,59458,243.4,1111161,47245081,5.8,2.9,243.4
starladder,127,1600,12263,24,2,5,8438,348,29727,66,8413,719637,0.3,1,66
wildturtle,146,1995,7518,39,1,4,7486,-1129,19053,-208.2,546196,43759086,0.3,1,-208.2
dizzykitten,3061,1016,10239,599,121,5,5191,169,13833,33.2,544263,17893312,4.8,2.7,33.2
rekkles,307,8898,21290,51,1,6,53525,3673,98628,562.7,541512,18126372,0.4,1,562.7
hazretiyasuo,812,2847,16548,254,12,3,9099,1372,20655,420.8,538998,10486159,2.1,1.1,420.8
felps,2406,2024,11456,483,166,5,10082,1139,18674,201.7,513353,8317485,3.9,3.1,201.7
felps,2406,2024,11456,483,166,5,10082,1139,18674,201.7,513353,8317485,3.9,3.1,201.7
yetz,2782,3737,30556,386,20,7,26935,765,41393,107.8,537529,40396853,3.1,1.2,107.8
yetz,2782,3737,30556,386,20,7,26935,765,41393,107.8,537529,40396853,3.1,1.2,107.8
sirhcez,5398,1517,10402,684,22,8,11972,101,13418,13.1,533664,59539939,5.5,1.1,13.1
jacksepticeye,193,2441,22425,116,43,2,4071,3024,11333,1579,527754,2072808,1.3,1.2,1579
arteezy,737,15412,28650,130,3,6,87388,1697,128333,218.7,527770,49140983,1.1,1.1,218.7
mickalow,2257,2597,18701,347,65,7,16892,1793,28942,232.7,530151,8500361,3.1,2.2,232.7
sacriel,5639,3677,46834,709,88,8,29246,369,46809,45.9,527372,56854358,5.7,1.4,45.9
sacriel,5639,3677,46834,709,88,8,29246,369,46809,45.9,527372,56854358,5.7,1.4,45.9
kamikat,1331,4045,18311,240,24,6,22438,1522,56856,205.8,512384,28241015,1.9,1.4,205.8
kolento,2244,5984,28583,509,20,4,26380,357,42207,66.3,524822,42746252,4.1,1.1,66.3
kamikat,1331,4045,18311,240,24,6,22438,1522,56856,205.8,512384,28241015,1.9,1.4,205.8
bigfoltz,2131,383,8746,321,19,7,2543,259,2874,39.4,521278,6930657,2.6,1.3,39.4
savjz,4059,7636,42072,656,18,6,47253,458,57517,66.5,519235,52496575,5.3,1.1,66.5
warcraft,1325,13715,117791,174,1,8,104467,1371,219917,208.9,517837,63278766,1.4,1,208.9
bacon_donut,4198,800,4500,550,52,8,6106,111,10672,13.2,517220,23355336,4.4,1.2,13.2
sheviiioficial,3859,1628,25508,491,30,8,12796,819,29810,126,486569,17713921,4,1.9,126
felps,2406,2024,11456,483,166,5,10082,1139,18674,201.7,513353,8317485,3.9,3.1,201.7
felps,2406,2024,11456,483,166,5,10082,1139,18674,201.7,513353,8317485,3.9,3.1,201.7
singsing,5738,4770,24068,729,153,8,37542,241,39945,32.6,514226,76370300,5.9,1.4,32.6
sacriel,5639,3677,46834,709,88,8,29246,369,46809,45.9,527372,56854358,5.7,1.4,45.9
